interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race,household_income,education,state,congress_district,age,vote_trump,vote_biden,education_level,income_level
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999",Other post high school vocational training,west virginia,WV02,62,1,0,4,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,unemployed,The United States,Female,Midwest,Not Hispanic,white,"$30,000 to $34,999",High school graduate,ohio,OH08,42,0,1,3,4
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",new york,NY25,81,0,1,7,4
Some of the time,Registered,Jill Stein,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",kentucky,KY03,22,0,1,5,6
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",indiana,IN09,71,1,0,7,20
Most of the time,Registered,Jill Stein,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,West,Not Hispanic,white,"Less than $14,999","College Degree (such as B.A., B.S.)",washington,WA10,41,0,1,7,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$40,000 to $44,999","Completed some graduate, but no degree",iowa,IA03,71,1,0,8,6
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$75,000 to $79,999","College Degree (such as B.A., B.S.)",south carolina,SC02,55,1,0,7,13
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$85,000 to $89,999",Associate Degree,minnesota,MN03,68,0,1,6,15
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$90,000 to $94,999","Completed some college, but no degree",georgia,GA06,69,1,0,5,16
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,Northeast,Not Hispanic,white,"$75,000 to $79,999",Masters degree,pennsylvania,PA12,33,1,0,9,13
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",new jersey,NJ09,70,0,1,7,10
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Donald Trump,Liberal,employed,The United States,Female,South,Not Hispanic,white,"$30,000 to $34,999",Associate Degree,virginia,VA05,32,1,0,6,4
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999","Completed some college, but no degree",south carolina,SC01,77,1,0,5,18
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999",Associate Degree,texas,TX01,65,1,0,6,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Not Hispanic,black/african american/negro,"Less than $14,999","Completed some college, but no degree",florida,FL23,22,0,1,5,0
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$15,000 to $19,999",Middle School - Grades 4 - 8,new york,NY22,47,0,0,1,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,West,Not Hispanic,white,"$65,000 to $69,999",Masters degree,arizona,AZ02,63,0,1,9,11
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$45,000 to $49,999",Masters degree,illinois,IL02,79,0,1,9,7
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$75,000 to $79,999","Completed some college, but no degree",ohio,OH04,70,1,0,5,13
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$80,000 to $84,999",Masters degree,ohio,OH14,54,0,1,9,14
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Male,West,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",california,CA36,72,0,1,5,6
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,unemployed,The United States,Female,South,Not Hispanic,white,"$20,000 to $24,999",Completed some high school,florida,FL06,40,1,0,NA,2
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,South,Not Hispanic,black/african american/negro,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",north carolina,NC12,69,0,1,7,11
Some of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",texas,,37,0,1,7,22
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Not Hispanic,white,"$150,000 to $174,999",Doctorate degree,florida,FL23,36,0,1,10,20
Some of the time,Registered,Hillary Clinton,Not sure,I am not sure/don't know,Liberal,unemployed,The United States,Female,Northeast,Not Hispanic,white,"$65,000 to $69,999",Other post high school vocational training,new york,NY12,54,0,0,4,11
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Not Hispanic,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",texas,TX10,40,0,1,7,17
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Northeast,Not Hispanic,white,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",new jersey,NJ07,41,0,1,7,14
Hardly at all,Not registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Not Sure,not in labor force,The United States,Female,South,Not Hispanic,white,"Less than $14,999",Completed some high school,arkansas,AR03,57,0,0,NA,0
Some of the time,Not registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Very Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"Less than $14,999",Completed some high school,oklahoma,OK02,64,0,0,NA,0
Some of the time,Not registered,"Did not vote, but was eligible",Not sure,Someone else,Liberal,not in labor force,The United States,Female,West,Not Hispanic,white,"$75,000 to $79,999",Completed some high school,nevada,NV04,39,0,0,NA,13
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",I am not sure/don't know,Not Sure,employed,The United States,Female,South,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",florida,FL17,50,0,0,5,7
Most of the time,Registered,Jill Stein,"Yes, I will vote",Someone else,Very Liberal,employed,The United States,Female,South,Not Hispanic,other asian or pacific islander,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",texas,TX21,26,0,0,7,9
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,West,Not Hispanic,white,"$15,000 to $19,999",Completed some high school,california,CA36,30,0,1,NA,1
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Someone else,Moderate,employed,The United States,Female,Northeast,Not Hispanic,white,"$65,000 to $69,999","College Degree (such as B.A., B.S.)",new york,NY24,51,0,0,7,11
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,West,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",oregon,OR02,72,1,0,5,0
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",pennsylvania,PA07,55,1,0,7,3
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Northeast,Not Hispanic,black/african american/negro,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",pennsylvania,PA03,80,0,1,7,18
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,South,Not Hispanic,white,"$80,000 to $84,999","Completed some college, but no degree",north carolina,NC02,66,0,1,5,14
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$35,000 to $39,999",Other post high school vocational training,texas,TX31,40,1,0,4,5
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,employed,The United States,Female,West,Not Hispanic,white,"$40,000 to $44,999",Completed some high school,california,,23,0,0,NA,6
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,other asian or pacific islander,"$75,000 to $79,999",Masters degree,virginia,VA09,31,1,0,9,13
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$95,000 to $99,999",Masters degree,ohio,OH05,69,1,0,9,17
Some of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,West,Not Hispanic,chinese,"$125,000 to $149,999","Completed some graduate, but no degree",california,CA17,31,0,1,8,19
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$85,000 to $89,999",Masters degree,illinois,IL11,51,0,1,9,15
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999","Completed some graduate, but no degree",north carolina,NC03,78,1,0,8,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Midwest,Not Hispanic,white,"$50,000 to $54,999",Other post high school vocational training,michigan,MI07,58,0,1,4,8
Most of the time,Registered,Donald Trump,"Yes, I will vote",Someone else,Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$45,000 to $49,999",High school graduate,pennsylvania,,70,0,0,3,7
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,West,Not Hispanic,white,"$150,000 to $174,999",Masters degree,california,CA40,19,0,1,9,20
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,Midwest,Not Hispanic,white,"$65,000 to $69,999","Completed some college, but no degree",michigan,MI01,41,0,1,5,11
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$30,000 to $34,999",Completed some high school,connecticut,CT01,39,0,1,NA,4
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",north carolina,NC02,63,1,0,7,8
Some of the time,Registered,Jill Stein,"Yes, I will vote",I am not sure/don't know,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$30,000 to $34,999",Associate Degree,wisconsin,WI08,68,0,0,6,4
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",florida,FL06,41,0,0,7,8
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$45,000 to $49,999",Associate Degree,connecticut,CT01,73,1,0,6,7
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$40,000 to $44,999",Masters degree,north carolina,NC09,38,1,0,9,6
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,West,Not Hispanic,white,"$30,000 to $34,999",Associate Degree,oregon,OR05,69,1,0,6,4
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$100,000 to $124,999",Masters degree,illinois,IL15,61,1,0,9,18
Some of the time,Registered,Hillary Clinton,"No, I will not vote but I am eligible",Joe Biden,Liberal,unemployed,The United States,Female,Northeast,Mexican,white,"Less than $14,999",Other post high school vocational training,new jersey,NJ09,19,0,1,4,0
Some of the time,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",texas,TX22,72,0,0,5,7
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,West,Not Hispanic,white,"$30,000 to $34,999",Masters degree,california,CA24,54,1,0,9,4
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,South,Not Hispanic,white,"$150,000 to $174,999",Masters degree,florida,FL02,70,0,1,9,20
Some of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",iowa,IA01,53,0,1,7,5
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999",Masters degree,georgia,GA10,52,1,0,9,18
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Someone else,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$95,000 to $99,999",Masters degree,illinois,IL05,40,0,0,9,17
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$75,000 to $79,999",Masters degree,new york,NY21,63,0,1,9,13
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,Another country,Female,West,Not Hispanic,white,"$25,000 to $29,999",Associate Degree,washington,WA05,63,0,1,6,3
Only now and then,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$60,000 to $64,999","Completed some college, but no degree",michigan,MI01,38,0,1,5,10
Some of the time,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$60,000 to $64,999",High school graduate,south carolina,SC02,75,0,0,3,10
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$55,000 to $59,999",Other post high school vocational training,ohio,OH05,45,0,1,4,9
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,unemployed,The United States,Female,Midwest,Not Hispanic,white,"$45,000 to $49,999",High school graduate,illinois,IL16,30,1,0,3,7
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$90,000 to $94,999",High school graduate,massachusetts,MA08,66,0,1,3,16
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,Another country,Female,Midwest,Not Hispanic,chinese,"$80,000 to $84,999",Masters degree,missouri,MO03,40,0,1,9,14
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,West,Not Hispanic,white,"$60,000 to $64,999",Masters degree,colorado,CO05,49,0,1,9,10
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",illinois,IL15,57,1,0,5,7
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Someone else,Not Sure,employed,The United States,Female,South,Not Hispanic,white,"$25,000 to $29,999",Other post high school vocational training,north carolina,NC13,59,0,0,4,3
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,South,Not Hispanic,white,"$90,000 to $94,999","College Degree (such as B.A., B.S.)",north carolina,NC05,60,1,0,7,16
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$70,000 to $74,999",Masters degree,new york,NY13,68,0,1,9,12
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$60,000 to $64,999",High school graduate,indiana,IN04,58,1,0,3,10
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,West,Not Hispanic,chinese,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",california,CA33,33,0,1,7,8
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Female,South,Not Hispanic,white,"$250,000 and above","Completed some college, but no degree",florida,FL01,26,1,0,5,23
Only now and then,Not registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$40,000 to $44,999",High school graduate,florida,FL02,22,0,0,3,6
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$65,000 to $69,999","Completed some college, but no degree",pennsylvania,PA07,76,1,0,5,11
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$25,000 to $29,999",Other post high school vocational training,south carolina,SC07,38,1,0,4,3
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$100,000 to $124,999",Masters degree,illinois,IL09,53,1,0,9,18
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$15,000 to $19,999","Completed some college, but no degree",ohio,OH14,64,0,1,5,1
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$90,000 to $94,999",Masters degree,new york,NY07,49,1,0,9,16
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$65,000 to $69,999","Completed some college, but no degree",iowa,IA02,66,1,0,5,11
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$125,000 to $149,999",Masters degree,wisconsin,WI05,56,1,0,9,19
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Very Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",connecticut,CT02,26,0,1,7,15
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,Northeast,Not Hispanic,white,"$30,000 to $34,999",High school graduate,pennsylvania,PA09,58,1,0,3,4
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,Northeast,Not Hispanic,white,"$100,000 to $124,999","Completed some graduate, but no degree",new jersey,NJ03,72,0,1,8,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,South,Not Hispanic,white,"$60,000 to $64,999",Masters degree,district of columbia,DC00,36,0,1,9,10
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$100,000 to $124,999",Masters degree,pennsylvania,PA01,70,0,1,9,18
Only now and then,Registered,"Did not vote, but was eligible",Not sure,Donald Trump,Conservative,unemployed,The United States,Male,South,Not Hispanic,white,"$45,000 to $49,999",Associate Degree,georgia,GA08,25,1,0,6,7
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Northeast,Not Hispanic,white,"$150,000 to $174,999",Masters degree,new york,NY09,40,0,1,9,20
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$150,000 to $174,999",Masters degree,florida,FL15,42,1,0,9,20
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,unemployed,Another country,Male,South,Not Hispanic,black/african american/negro,"Less than $14,999",Completed some high school,florida,,26,0,1,NA,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,unemployed,Another country,Male,Northeast,Not Hispanic,chinese,"Less than $14,999","Completed some college, but no degree",new york,NY10,45,0,1,5,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$30,000 to $34,999",Associate Degree,georgia,GA01,57,1,0,6,4
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,Midwest,Not Hispanic,white,"$90,000 to $94,999","Completed some college, but no degree",illinois,IL01,55,1,0,5,16
Some of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,West,Not Hispanic,white,"$55,000 to $59,999","Completed some college, but no degree",new mexico,NM02,70,0,1,5,9
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",tennessee,TN09,55,0,1,7,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,not in labor force,Another country,Female,West,Not Hispanic,chinese,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",california,CA32,46,0,1,7,3
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",north carolina,NC04,32,1,0,7,9
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",virginia,,66,1,0,5,6
Most of the time,Registered,Don't recall,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",minnesota,MN02,35,1,0,7,7
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$25,000 to $29,999",Associate Degree,wisconsin,WI02,71,1,0,6,3
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Moderate,unemployed,The United States,Male,West,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",arizona,AZ07,34,0,0,5,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$100,000 to $124,999",Masters degree,pennsylvania,PA06,37,0,1,9,18
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$30,000 to $34,999","Completed some college, but no degree",oklahoma,OK05,27,0,1,5,4
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$100,000 to $124,999",Masters degree,illinois,IL06,61,1,0,9,18
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$100,000 to $124,999",Masters degree,florida,FL14,47,1,0,9,18
Only now and then,Not registered,Hillary Clinton,"No, I am not eligible to vote",Joe Biden,Conservative,employed,The United States,Female,South,Not Hispanic,black/african american/negro,"$100,000 to $124,999",Doctorate degree,district of columbia,DC00,69,0,1,10,18
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$55,000 to $59,999",Doctorate degree,texas,TX14,45,1,0,10,9
Hardly at all,Registered,Gary Johnson,Not sure,Donald Trump,Not Sure,unemployed,The United States,Female,Midwest,Not Hispanic,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",indiana,IN09,26,1,0,7,9
